Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Ward,Parish,Introduced,Terminated,Altitude,Country,Last Updated,Quality,LSOA Code,LSOA Name
SW12 0AT,Yes,51.446766,-0.13199,529910,173630,TQ299736,Thornton,"Lambeth, unparished area",01/01/1980,,36,England,21/11/2020,Within the building of the matched address closest to the postcode mean,E01003163,Lambeth 023F
SW12 0AU,Yes,51.445666,-0.131819,529925,173508,TQ299735,Thornton,"Lambeth, unparished area",01/01/1980,,38,England,21/11/2020,Within the building of the matched address closest to the postcode mean,E01003163,Lambeth 023F
SW12 0AW,Yes,51.447545,-0.134045,529765,173713,TQ297737,Thornton,"Lambeth, unparished area",01/01/1980,,32,England,21/11/2020,Within the building of the matched address closest to the postcode mean,E01003163,Lambeth 023F
SW12 0AX,Yes,51.444559,-0.132886,529854,173383,TQ298733,Thornton,"Lambeth, unparished area",01/01/1980,,37,England,21/11/2020,Within the building of the matched address closest to the postcode mean,E01003163,Lambeth 023F
SW12 0AY,Yes,51.444584,-0.132209,529901,173387,TQ299733,Thornton,"Lambeth, unparished area",01/01/1980,,38,England,21/11/2020,Within the building of the matched address closest to the postcode mean,E01003163,Lambeth 023F
SW12 0AZ,Yes,51.445634,-0.133202,529829,173502,TQ298735,Thornton,"Lambeth, unparished area",01/01/1980,,35,England,21/11/2020,Within the building of the matched address closest to the postcode mean,E01003163,Lambeth 023F
SW12 0BA,Yes,51.446233,-0.132976,529843,173569,TQ298735,Thornton,"Lambeth, unparished area",01/01/1980,,34,England,21/11/2020,Within the building of the matched address closest to the postcode mean,E01003163,Lambeth 023F
SW12 0BB,Yes,51.446966,-0.132658,529863,173651,TQ298736,Thornton,"Lambeth, unparished area",01/01/1980,,34,England,21/11/2020,Within the building of the matched address closest to the postcode mean,E01003163,Lambeth 023F
SW12 0BD,Yes,51.446901,-0.131423,529949,173646,TQ299736,Thornton,"Lambeth, unparished area",01/01/1980,,38,England,21/11/2020,Within the building of the matched address closest to the postcode mean,E01003162,Lambeth 022E
SW12 0BE,No,51.447233,-0.140966,529285,173666,TQ292736,Thornton,"Lambeth, unparished area",01/09/2014,01/04/2015,26,England,21/11/2020,Within the building of the matched address closest to the postcode mean,E01003161,Lambeth 023E
SW12 0BF,Yes,51.443595,-0.144092,529078,173256,TQ290732,Thornton,"Lambeth, unparished area",01/03/2010,,27,England,21/11/2020,Within the building of the matched address closest to the postcode mean,E01003157,Lambeth 023C
SW12 0BG,Yes,51.445321,-0.132179,529901,173469,TQ299734,Thornton,"Lambeth, unparished area",01/07/1990,,37,England,21/11/2020,Within the building of the matched address closest to the postcode mean,E01003163,Lambeth 023F
SW12 0BH,Yes,51.453552,-0.144206,529042,174363,TQ290743,Clapham Common,"Lambeth, unparished area",01/01/1980,,28,England,21/11/2020,Within the building of the matched address closest to the postcode mean,E01003030,Lambeth 019D
SW12 0BL,Yes,51.452819,-0.142235,529181,174285,TQ291742,Clapham Common,"Lambeth, unparished area",01/01/1980,,28,England,21/11/2020,Within the building of the matched address closest to the postcode mean,E01003031,Lambeth 023A
